0;944;-308;17216;-386;126
1;-420;-268;16320;233;1911
2;-268;-504;16240;724;1765
3;-1040;36;16180;322;904
4;-804;-236;16240;-287;319
5;-904;-92;16008;-57;264;
6;-808;-496;16012;90;508;
7;-872;-288;16180;282;743;
8;-1028;-212;16220;539;679;
9;-776;-44;16176;627;343;
10;-440;216;16344;666;519;
11;-580;364;16516;494;630;
12;-536;24;16132;308;501;
13;-496;-140;16232;422;667;
14;-616;-144;16204;652;610;
15;-716;-228;16412;726;497;
16;-372;-32;16436;715;419;
17;-592;408;16464;831;699;
18;-1080;540;16404;666;602;
19;-748;-204;16284;333;324;
20;-396;-144;16112;822;490;
21;-816;400;16328;1313;691;
22;-1084;524;16224;1048;552;
23;-1312;384;16296;639;253;
24;-1132;236;15916;868;-118;
25;-852;244;16040;1299;-85;
26;-816;192;15916;1523;-44;
27;-724;332;15900;1623;189;
28;-740;552;15848;1801;365;
29;-1128;860;16084;1931;234;
30;-1012;1040;16100;2112;94;
31;-912;1372;16280;1867;165;
32;-956;1540;16352;1452;335;
33;-984;1456;16208;1090;436;
34;-952;1232;16124;869;358;
35;-836;1088;15760;824;291;
36;-844;1096;15796;1099;259;
37;-788;1100;15896;1102;80;
38;-604;912;15768;947;27;
39;-976;1124;15604;1167;2;
40;-1220;1432;15756;1622;-32;
41;-1116;1696;16024;1548;-59;
42;-988;1468;15900;1178;-172;
43;-804;1932;15988;1445;3;
44;-900;2128;16268;1682;198;
45;-1348;2328;16324;1420;28;
46;-1312;2212;16236;1100;-460;
47;-840;2460;16472;1120;-427;
48;-484;2532;16388;1061;-296;
49;-524;2384;16452;886;-121;
50;-448;2280;16016;1006;127;
51;-536;2176;16204;1006;136;
52;-648;2248;16276;1116;161;
53;-652;2268;16368;1073;190;
54;-724;2520;16248;982;234;
55;-368;2604;16244;933;533;
56;-432;2456;16136;974;878;
57;-836;2236;15848;1050;515;
58;-832;2612;15884;1599;421;
59;-1152;2976;15888;1581;548;
60;-1216;2952;16056;1344;517;
61;-1084;2616;15732;1093;422;
62;-1124;2608;15552;1170;165;
63;-1072;2844;15796;1557;-50;
64;-1100;3124;15804;1640;-19;
65;-1248;3128;15896;1521;38;
66;-1336;3116;15748;1460;228;
67;-1280;3100;15880;1358;-144;
